SentenceId	Phrase	Sentiment
1	series escapade demonstrating adage good goose also good gander occasionally amuses none amount much story	0
2	quiet introspective entertaining independent worth seeking	4
3	even fan ismail merchant work suspect would hard time sitting one	0
4	positively thrilling combination ethnography intrigue betrayal deceit murder shakespearean tragedy juicy soap opera	4
5	aggressive self glorification manipulative whitewash	0
6	comedy drama nearly epic proportion rooted sincere performance title character undergoing midlife crisis	4
7	narratively trouble every day plodding mess	0
8	importance earnest thick wit play like reading bartlett familiar quotation	4
9	n leave much	0
10	could hate reason	0
11	little recommend snow dog unless one considers cliched dialogue perverse escapism source high hilarity	0
12	kung pow oedekerk realization childhood dream martial art flick prof sometimes dream youth remain	0
13	performance absolute joy	4
14	fresnadillo something serious say way extravagant chance distort perspective throw u path good sense	4
15	still like moonlight mile better judgment damned	4
16	welcome relief baseball movie try hard mythic one sweet modest ultimately winning story	4
17	bilingual charmer like woman inspired	4
18	like le dizzily gorgeous companion mr wong mood love much hong kong movie despite mainland setting	2
19	inept big screen remake avenger wild wild west	0
20	everything expect nothing	2
21	best indie year far	4
22	hatfield hick make oddest couple sense movie becomes study gamble publishing world offering case study exists apart movie political ramification	4
23	like going house party watching host defend frothing ex girlfriend	0
24	chuck norris grenade gag occurs time windtalker good indication serious minded film	2
25	plot romantic comedy boilerplate start finish	2
26	arrives impeccable pedigree mongrel pep almost indecipherable plot complication	2
27	film clearly mean preach exclusively converted	2
28	importance earnest offer opportunity occasional smile chuckle n give u reason theater beyond wilde wit actor performance	0
29	latest vapid actor exercise appropriate structure arthur schnitzler reigen	0
30	vaudeville show well constructed narrative term inoffensive actually rather sweet	2
31	nothing run mill action flick	2
32	hampered paralyzed self indulgent script aim poetry end sounding like satire	0
33	ice age first computer generated feature cartoon feel like movie make glacial pacing early	2
34	little sense going maker serve cliche considerable dash	2
35	cattaneo followed runaway success first film full monty something different	2
36	unnamed easily substitutable force serve whatever terror hero horror movie try avoid	0
37	almost feel movie interested entertaining amusing u	0
38	movie progression rambling incoherence give new meaning phrase fatal script error	0
39	n judge one soon dark gritty story take totally unexpected direction keep going	4
40	could young romantic date	4
41	tartakovsky team freakish power visual charm five writer slip modern rut narrative banality	0
42	vincent gallo right home french shocker playing usual bad boy weirdo role	4
43	horror movie primary goal frighten disturb work spectacularly well shiver inducing nerve rattling ride	4
44	minute movie minute decent material	0
45	fortunately still option	2
46	le sensational true crime hell jaunt purist might like experimental storytelling lrb though le horrifying rrb	4
47	tricky satisfying david mamet airless cinematic shell game	4
48	sure filmmaker would disagree honestly n see point	0
49	jones tackled meaty subject drawn engaging character peppering page memorable zinger	4
50	bloody sunday grace call prevention rather place blame making one best war movie ever made	4
51	take clunky tv movie approach detailing chapter life celebrated irish playwright poet drinker	0
52	finally coming miramax deep shelf couple aborted attempt waking reno make strong case letting sleeping dog lie	2
53	thanks largely williams interesting development processed minute rest overexposed waste film	0
54	come across relic bygone era convolution feel silly rather plausible	0
55	perhaps cliche call film refreshing	4
56	lead performance oscar size	4
57	run life	0
58	mark pellington latest pop thriller kooky overeager spooky subtly love myth	4
59	claude chabrol camera way gently swaying back forth cradle character veiling tension beneath otherwise tender movement	4
60	transforms one lrb shakespeare rrb deepest tragedy smart new comedy	4
61	screenplay james eric james horton director peter fallon pat make teeth hurt	0
62	arriving particularly dark moment history offer flickering reminder tie bind u	4
63	generic villain lack intrigue lrb funny accent rrb action scene poorly delivered	0
64	character deeply thought right thinking film	4
65	film despite gratuitous cinematic distraction impressed upon still good fun	4
66	downright transparent script endless assault embarrassingly ham fisted sex joke reek script rewrite designed garner film cooler pg rating	0
67	smart provocative drama nearly impossible get skin man know evil monstrous lunatic	4
68	like drive	0
69	many thing stoner midnight flick sci fi deconstruction gay fantasia love story sanguine title	4
70	funny romantic comedy two skittish new york middle agers stumble relationship struggle furiously fear foible	4
71	ambition say something subject willingness	0
72	lrb scherfig rrb made movie leave wondering character life clever credit roll	4
73	lrb rrb absorbing documentary	4
74	reek rot hack work start finish	2
75	play like series vignette clip film still looking common line	0
76		0
77	major problem windtalker bulk movie center wrong character	0
78	swimfan like fatal attraction eventually go overboard loony melodramatic denouement high school swimming pool substitute bathtub	2
79	heartfelt story n involving one	0
80	unsettling memorable cinematic experience predecessor proud	4
81	pretty good execution story lot richer one hollywood action screenwriter usually come	4
82	phillip noyce actor well cinematographer christopher doyle understand delicate forcefulness greene prose screen version quiet american	4
83	pianist lack quick emotional connection steven spielberg schindler list	2
84	inventive fun intoxicatingly sexy violent self indulgent maddening	4
85	tell fascinating compelling story	4
86	written flatly david kendall directed barely something mary co writer ed decter	0
87	highly recommended viewing courage idea technical proficiency great acting	4
88	imax short wonderful big screen	4
89	show u slice life different yet instantly recognizable	4
90	amid shock curiosity factor film corny examination young actress trying find way	0
91	lazy movie avoid solving one problem trying distract u solution another	2
92	comprehensible dummy guide something even non techie enjoy	4
93	entertains much music comic antic perverse pleasure watching disney scrape bottom cracker barrel	0
94	writer director burr steer emphasizes q quirky mixed result	4
95	scarcely worth mention apart reporting number tumbleweed blowing empty theatre graced company	0
96	invigorating surreal resonant rainbow emotion	4
97	analyze one crass contrived sequel fails make second guess affection original	0
98	report card n live exalted tagline definite room improvement	0
99	particularly good film neither monsterous one	2
100	tsai may ploughing furrow often	2
101	lrb green rrb comedy equivalent saddam hussein ready go u n ask permission preemptive strike	0
102	surprisingly solid achievement director malcolm lee writer john ridley	4
103	massoud story epic also tragedy record tenacious humane fighter also prisoner lrb ultimately victim rrb history	2
104	changing lane try	4
105	shyamalan stop trying please mom	0
106	macabre stylized swedish fillm modern city religious civic virtue hold society place tatter	4
107	one recent memory thoughtful film art ethic cost moral compromise	4
108	narrative consistently unimaginative probably way saved film aid wisecracking mystery science theater guy	2
109	filmmaker tian zhuangzhuang triumphantly return narrative filmmaking visually masterful work quiet power	4
110	mawkish self parody play like weird masterpiece theater sketch neither point view compelling reason	0
111	take one character n like another n believe put battle will impossible care n funny	2
112	appreciate one sided theme lawrence indulgent tirade knock enjoy big screen postcard self glorified martin lawrence lovefest	0
113	whole film sneaky feel director trying dupe viewer taking important simply movie ugly look hollywood product	0
114	whenever threatens get bogged earnest dramaturgy stirring visual sequence like surge swirling rapid leap pinnacle pinnacle rous u	4
115	swinging film make seem hobby attracts young fit	0
116	entirely unprepared	2
117	devos delivers perfect performance capture innocence budding demon within wallflower	4
118	year russian history culture compressed evanescent seamless sumptuous stream consciousness	4
119	filmmaker want nothing else show u good time cheap b movie way succeed	4
120	mr polanski element alone abandoned still consoled art ever revealed source spiritual survival	4
121	spider man better summer blockbuster endure last summer hopefully set tone summer good stuff	4
